"Razveze zakonskih zvez po: STATISTIČNA REGIJA, LETO , TRAJANJE ZAKONSKE"
"ZVEZE"

"Pomurska"
" ";"2003"
" ";"2014"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";1
" ";" ";"2 leti";2
" ";" ";"3 leta";1
" ";" ";"4 leta";0
" ";" ";"5-9 let";9
" ";" ";"10-14 let";9
" ";" ";"15-19 let";4
" ";" ";"20-24 let";8
" ";" ";"25 ali več let";11
"Spodnjeposavska"
" ";"2003"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";0
" ";" ";"2 leti";2
" ";" ";"3 leta";1
" ";" ";"4 leta";6
" ";" ";"5-9 let";7
" ";" ";"10-14 let";13
" ";" ";"15-19 let";17
" ";" ";"20-24 let";12
" ";" ";"25 ali več let";13
" ";"2004"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";0
" ";" ";"2 leti";2
" ";" ";"3 leta";1
" ";" ";"4 leta";4
" ";" ";"5-9 let";9
" ";" ";"10-14 let";7
" ";" ";"15-19 let";10
" ";" ";"20-24 let";6
" ";" ";"25 ali več let";19
" ";"2005"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";3
" ";" ";"2 leti";2
" ";" ";"3 leta";1
" ";" ";"4 leta";0
" ";" ";"5-9 let";10
" ";" ";"10-14 let";17
" ";" ";"15-19 let";9
" ";" ";"20-24 let";13
" ";" ";"25 ali več let";19
" ";"2006"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";0
" ";" ";"2 leti";2
" ";" ";"3 leta";4
" ";" ";"4 leta";1
" ";" ";"5-9 let";15
" ";" ";"10-14 let";18
" ";" ";"15-19 let";12
" ";" ";"20-24 let";11
" ";" ";"25 ali več let";13
" ";"2007"
" ";" ";"do 1 leta";4
" ";" ";"1 leto";1
" ";" ";"2 leti";2
" ";" ";"3 leta";2
" ";" ";"4 leta";1
" ";" ";"5-9 let";18
" ";" ";"10-14 let";6
" ";" ";"15-19 let";10
" ";" ";"20-24 let";10
" ";" ";"25 ali več let";16
" ";"2008"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";4
" ";" ";"2 leti";5
" ";" ";"3 leta";6
" ";" ";"4 leta";3
" ";" ";"5-9 let";16
" ";" ";"10-14 let";12
" ";" ";"15-19 let";5
" ";" ";"20-24 let";7
" ";" ";"25 ali več let";9
" ";"2009"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";1
" ";" ";"2 leti";6
" ";" ";"3 leta";3
" ";" ";"4 leta";2
" ";" ";"5-9 let";13
" ";" ";"10-14 let";7
" ";" ";"15-19 let";11
" ";" ";"20-24 let";10
" ";" ";"25 ali več let";16
" ";"2010"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";2
" ";" ";"2 leti";1
" ";" ";"3 leta";1
" ";" ";"4 leta";3
" ";" ";"5-9 let";14
" ";" ";"10-14 let";14
" ";" ";"15-19 let";18
" ";" ";"20-24 let";14
" ";" ";"25 ali več let";23
" ";"2011"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";2
" ";" ";"2 leti";2
" ";" ";"3 leta";5
" ";" ";"4 leta";2
" ";" ";"5-9 let";11
" ";" ";"10-14 let";9
" ";" ";"15-19 let";11
" ";" ";"20-24 let";11
" ";" ";"25 ali več let";19
" ";"2012"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";0
" ";" ";"2 leti";1
" ";" ";"3 leta";2
" ";" ";"4 leta";5
" ";" ";"5-9 let";21
" ";" ";"10-14 let";16
" ";" ";"15-19 let";11
" ";" ";"20-24 let";13
" ";" ";"25 ali več let";25
" ";"2013"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";5
" ";" ";"2 leti";3
" ";" ";"3 leta";3
" ";" ";"4 leta";2
" ";" ";"5-9 let";13
" ";" ";"10-14 let";8
" ";" ";"15-19 let";9
" ";" ";"20-24 let";12
" ";" ";"25 ali več let";20
" ";"2014"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";7
" ";" ";"3 leta";8
" ";" ";"4 leta";2
" ";" ";"5-9 let";14
" ";" ";"10-14 let";10
" ";" ";"15-19 let";6
" ";" ";"20-24 let";7
" ";" ";"25 ali več let";15
"Jugovzhodna Slovenija"
" ";"2003"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";3
" ";" ";"2 leti";6
" ";" ";"3 leta";9
" ";" ";"4 leta";5
" ";" ";"5-9 let";23
" ";" ";"10-14 let";18
" ";" ";"15-19 let";22
" ";" ";"20-24 let";13
" ";" ";"25 ali več let";21
" ";"2004"
" ";" ";"do 1 leta";0
" ";" ";"1 leto";2
" ";" ";"2 leti";5
" ";" ";"3 leta";9
" ";" ";"4 leta";9
" ";" ";"5-9 let";20
" ";" ";"10-14 let";24
" ";" ";"15-19 let";20
" ";" ";"20-24 let";19
" ";" ";"25 ali več let";29
" ";"2005"
" ";" ";"do 1 leta";3
" ";" ";"1 leto";4
" ";" ";"2 leti";5
" ";" ";"3 leta";5
" ";" ";"4 leta";6
" ";" ";"5-9 let";26
" ";" ";"10-14 let";29
" ";" ";"15-19 let";22
" ";" ";"20-24 let";29
" ";" ";"25 ali več let";30
" ";"2006"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";2
" ";" ";"2 leti";5
" ";" ";"3 leta";5
" ";" ";"4 leta";3
" ";" ";"5-9 let";26
" ";" ";"10-14 let";23
" ";" ";"15-19 let";24
" ";" ";"20-24 let";22
" ";" ";"25 ali več let";40
" ";"2007"
" ";" ";"do 1 leta";1
" ";" ";"1 leto";8
" ";" ";"2 leti";5
" ";" ";"3 leta";4
" ";" ";"4 leta";7
" ";" ";"5-9 let";30
" ";" ";"10-14 let";27
" ";" ";"15-19 let";28
" ";" ";"20-24 let";26
" ";" ";"25 ali več let";30
" ";"2008"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";1
" ";" ";"2 leti";6
" ";" ";"3 leta";6
" ";" ";"4 leta";4
" ";" ";"5-9 let";33
" ";" ";"10-14 let";28
" ";" ";"15-19 let";16
" ";" ";"20-24 let";18
" ";" ";"25 ali več let";32
" ";"2009"
" ";" ";"do 1 leta";2
" ";" ";"1 leto";3
" ";" ";"2 leti";3
" ";" ";"3 leta";4
" ";" ";"4 leta";6
" ";" ";"5-9 let";24
" ";" ";"10-14 let";30
" ";" ";"15-19 let";32
" ";" ";"20-24 let";23
" ";" ";"25 ali več let";28
" ";"2010"
" ";" ";"do 1 leta";1
